Date,Star_rating,Commentary
2024-02-25,5,"""Expectation is the root of all heartache"" is a quote I've learned the hard way when it comes to trying restaurants like Nobu Malibu.... and in other areas of life but I'm not tryna trauma dump on here.The Carbones and the Peter Lugers of the world let me down far more often than not, as I'm expecting to be BLOWN away by them. I think it's a mix of my expectations being near impossible to meet, and these businesses know that people will come just off of the hype alone, so it's hard to stay locked in.For context, my girlfriend was coming to LA for the first time and her one and only request was to go to Nobu Malibu, even quoting the Drake line ""Eatin crab out in Malibu at Nobuuuuuu"" smh.After calling and trying to make a res 24 days in advance, we were put on the waitlist. By the time our trip came around, I was hinting to pookie that God may just not want us to go.... but she said we could go right when it opens and could probably get a seat at the bar.I understood the low probability of this, but thought a spiritual drive up to Malibu would be worth it anyways. Plus, you try telling pookie no. Pookie gets what pookie wants.After the beautiful 58 minute drive from Manhattan Beach filled with the Red Hot Chili Peppers and BlueBucksClan spilling out my Toyota Rav4 speakers, we arrived at the promised land.The valet parks my 2017 Rav4 between a matte G-Wagon and a big body Range, and we walk through the beautiful little courtyard lounge area with the Pacific Ocean maybe 20 feet from us to get to the entrance.We get in at 11:59am (it opens at noon), and it is already PACKED. I was like baby no way we gettin a seat ahahaha...I was ready to just grab an early drink and enjoy the elite ambiance and head up to Point Dume for a meal.We got to the host stand and I put on my best puppy dog eyes, and the host says a table may open up, but we can sit at the bar as there is a full menu. She points over my right shoulder to the bar, and it is completely empty lol. Pookie was right.Before we could even order a drink, the hostess comes up to us and says a table opened up as someone canceled a res. WE UP!I don't even really need to say this, but this ambiance is everything it is cracked up to be. Whatever you're thinking in your head, it's even better. Waves crashing, sun shining. An absolute spiritual experience.We were buzzin that we got in, so we ordered a FEAST: Edamame & Shishito Peppers to start (do both I promise), Spicy Yellowtail Jalapeño, Crispy Rice w Spicy Tuna, Wagyu Tacos, Rock Shrimp Tempura, Black Miso Cod, Spicy Tuna Roll, Shrimp Tempura Roll, Baked Crab Roll.The quality of food at Nobu is just on a whole different level. It really is artistry what they are doing in here. Every bite we would look at each other like DAMN THIS IS HITTIN. Our favorites were the Yellowtail Jalapeño, Crispy Rice, and Black Cod. Those 3 dishes are like the Heatles. Yellowtail Jalapeño is LeBron though.I need to shout out my man Brett, our server. He was delivering the type of service you would expect here. Engaging, funny, and knows the menu like the back of his hand. Just one of those dudes who is happy to be alive and those kinds of people are infectious.Yeah, it's expensive. A special occasion only type beat. Being well north of $400 after a couple drinks each, my pockets were on featherweight. However, it was an experience we will talk about for years to come...and that's exactly what I was paying for. The experience. It is something we will always have together.To me, life is all about stacking these types of experiences with the people that you love and the people that love you. You can't take it with you. So yeah, it was easily worth it.In closing, I can't help but equate Nobu Malibu to LeBron James. The weight of the world on his shoulders, dubbed ""The next Michael Jordan"" and ""The Chosen One"" at age 16 comes with a level of expectation that could only set him up to fail. Yet, he still blew them out of the water. LeNobu.IG @jnov_Tiktok @jnov__"
2024-02-24,3,"Nobu is no Matsuhisa.   It's more glitz and glam and far less substance.   There's an amazing view and it's a place to be seen, so the ambiance within the restaurant is quite loud and hectic.  The refinement of a true sushi restaurant is plastered with a layer of cheese that is more befitting of Vegas. The food was really good, but not at the level you would expect from Nobu.  The refinement wasn't there. The servers were trying to serve up a wow-factor more befitting a car dealership.  Again the food was great, but the experience could not justify the cost of the meal."
2024-02-22,5,"As expected, amazing experience with top notch service, delicious food & drinks and the best ambiance! Our server John was very welcoming, familiar with the many menu options & he suggested the best choices even items that weren't on the menu but that had the Nobu Chef's touch! The friendly staff always made sure any empty dishes were quickly removed. John & Lino made my first time here a night to remember with their excellent service! The drinks were perfectly delicious including the espresso martini & the specialty drink! I already have reservations to celebrate my daughters upcoming birthday so she can also experience everything Nobu has to offer!"
2024-02-21,4,"We made the reservation during lunch hours, so we were able to enjoy the sunset scenery. My advice would be to request a table outside by the balcony for the best experience. Our server was very pleasant and had a lot of recommendations for food and drinks. In terms of food, we have been to the Los Angeles location before and the food is pretty much the same thing. The scenery really elevates the dining experience."
2024-02-19,5,"We came for my boyfriend's birthday and it was spectacular! Unfortunately the rain and gloom blocked the ocean side views but everything else was good enough to make up for it! Our server Kardell was the highlight! His kindness and recommendations were top tier. He guided us through the menu and we tried some amazing new dishes thanks to him, specifically the Chilean seabass, albacore and Meyer lemon, and ribeye with truffle butter (so good we got two!).  He helped me surprise my bf with a birthday dessert and personalized message as well! Definitely sit with him if you can as he made our dinner that much more special!"
2024-02-19,5,"To no one's surprise, this place is nothing short of absolute perfection. I drove from San Diego to Malibu to have lunch here for my 25th birthday. Despite, the 4 hour drive back this was the highlight of my day. The service was fantastic and view was even better. For starters we ordered the crispy okra and edamame. The crispy okra was so so good. Even my friend who isnt a fan of okra, loved these ones. The edamame was lackluster compared to everything else we had that day. I ordered the mango and passion martini - 10/10 bright tropical flavors i could have 10 of these. As well as the elderflower and lychee martini which was also a 10/10 - lychee forward and absolutely incredible. I ordered the omakase. Absolutely no complaints, the whole experience was life changing and my favorite dish would have to the ribeye steak with truffle sauce. Its the type of bite that has your eyes roll back. For dessert, we had these dessert cigars and of course the one included in the omakase. Both of these were solid desserts, but nothing to write home about. The ""happy birthday Zana"" written with chocolate was a thoughtful touch. Although there are other Nobu locations, some far closer to me in literal San Diego Gaslamp, there is something about this location that stands out amongst the others. From the food, the views, drinks...its truly worth the hype."
2024-02-16,3,We ordered drinks and they were definitely the highlight of the meal. We also ordered about 4 hot seafood items and a handful of sushi items as well as some appetizers.Everything was either good or just okay. You're definitely paying for the view because the food is nothing to rave about. I didn't dislike anything either it's just that nothing was very impressive or stood out. Either something was too salty or not flavored enough and bland. Also I asked our server for some lemons four times and I asked another server as well when our server wasn't around and finally by the fifth time they brought lemons which was during the last 15 minutes of our meal. No apology and zero sense of awareness for asking so many times... it was strange. Must be a lemon shortage I'm unaware of? Overall it was just an okay experience.
2024-02-13,3,"Not worth the hype in my opinion. If you are going to do simple but super fresh ingredients that's cool but the food wasn't any better than what I get at most local sushi places. The drinks weren't all that good either. The ambience was my favorite part but wouldn't fight the crowds, prices, or drive to go again."
2024-02-13,5,"It's so amazingly delicious, if I had a last meal, this would be it!!! The truffle butter steak, Dover sole, artichoke salad and passion fruit semifreddo are to-die-for!  Thank you, Nobu!!  Plus, you can't beat the ambiance! 20 out of 10 stars."
2024-02-09,1,"Called the host stand while right across from the restaurant to see if there was availability. Host said there was no wait. While crossing the street I could see no one else had entered the restaurant, but to my surprise when I checked in at the host stand I was unexpectedly told the wait would be an hour and a half. I mentioned that I had just called and the rude host (tall with black hair) responded with a blatant lie that other guests had arrived. (Again, not one car entered the parking the lot in between my call and entering the restaurant). I was particularly disappointed because I am a big nobu fan and I have been to this specific location several times prior and have always had a great experience. I was not upset that there was a wait as that is to be expected as a walk in at Nobu, I was frustrated by the lying and the fact that the wait seemed to depend on the appearance of the guests. I ended up sitting at the sushi bar and the service was great as expected, however I am discouraged to return based on the interaction at the host stand. The host was very rude and dismissive, and definitely appeared to be offering preferential treatment. I think she forgot that she works at the place and doesn't own it. She was giving off a sense that she was better than us and definitely was unaware of the fact that I have come here frequently and was looking forward to share my fondness of Nobu Malibu with my friend who was visiting. Disappointing to say the least."
2024-02-02,2,"We tried the Omasake menu 2 years ago and was impressed by the quantity and qaulity.  This time in our 2nd try of Omasake, it was quite mediocre.  Not only they increased the price from $100 to $135, they also reduced the quality of their raw fish and hot dish."
2024-01-31,1,"It was my 60th birthday. My family decided to take me out. among all the restaurants in Los Angeles. We choose to come to Nobu because we were there twice five years ago, and we loved it.But this time It was one of the worst experience we had.The sushi  was not fresh, had no flavor, the rice was dry, we asked for Ginger he brings us a  plate with an attitude.I don't recommend this place it's a ripoff, and it's overrated literally the sushi tasted like I got it from a vending machine at Ralphs ."
2024-01-31,5,So beautiful and great service. The food was amazing. Treatment was amazing. One of  my favorite restaurant
2024-01-26,4,"Finally got to visit this famed location. I think it goes without saying how popular this place is. You can tell by the presence of the paparazzi outside waiting to catch a vip for a photo op. This was our second stop on our PCH recon day. I highly recommend getting a resy, but since all we wanted was a drink we were totally ok with hanging at the bar area where people were watching the Sunday game. We ended up enjoying our drink outside which as it turned out was the waiting area. We decided to only get one round. I actually did enjoy the vibe outside and would have stayed longer, but the service was kinda spotty. I asked a guy outside to wind up the umbrella since the sun was scorching and his response was he had to go ask a manager to do it and that it would probably take a while. I think we stayed a little over a half hour and no one came back to our area. Two of us tried to do it ourselves, but the thing was so heavy."
2024-01-25,4,"In case you didn't know what to expect with this, you are paying for the gorgeous setting and the ambience. Perched directly overlooking the lapping ocean waves of Malibu, the California Sun seems to stay in the top of the sky forever.They have the most beautiful terrace deck, with comfortable couch seating, and the bar and lounge area have an indoor outdoor feel with giant glass walls and large sliding doors that are always open. We started with drinks, I tried the Flor de Jamaica, and absolutely loved it. It had a spicy red salt rim, not sure what type but not tajin, and had a deep red flavor with spicy hibiscus and deliciously smooth Anejo tequila inside. It came poured over a single large square ice cube that had the restaurant's logo born into it. Beautiful. My friend tried the qui espresso, their take on an espresso martini but with tequila and cold brew and orange bitters. I loved it, she wasn't a fan. The sushi itself was good but nothing to write home about. The prices are for the setting, point blank. Still I'll be back. Loooved this location. And the drinks were yum. Also we saw pierce brosnan a few tables over! We ran into him outside after & He was cool."
2024-01-25,5,"Amazing food!! Very aesthetic, Staff was lovely would definitely come back! Perfect place to celebrate any occasion!"
2024-01-24,4,"Nobu sushi is always top tier. I like that there are certain things only available at this location, like the truffle oil/black salt salmon which we ordered 3 more rounds of. I do feel like the service at this location wasn't as good as other locations I've visited - our table was reserved for outside but they made us sit inside which was a bummer, but overall good experience."
2024-01-23,5,"AMAZING!! Ronny and Joel are the best, such an amazing person and makes you feel so so welcomed! They have such a warm heart and cannot explain how much our group loved him!!"
2024-01-20,5,"The food was great as always, had a reservation and was seated promptly. The service was on par as usual as well the servers always paying attention to detail which is appreciated. You'll never have to ask for plates to be taken or room be made on the table, that being said you will never feel rushed it's all timed perfectly and makes the experience enjoyable. My staples that I'd recommend are the yellowtail sashimi, Wagyu tacos and shrimp or lobster tempura (go creamy sauce *chefs kiss*) for drinks all there martinis are very refreshing. The environment is private/ cozy yet still upbeat with noise from the music/ kitchen and others around you. Today it was raining so no view to the ocean unfortunately. Overall great experience, my only complaint is that at reservation and at check in I wasn't asked if there was a special occasion (which is almost asked at every restaurant) and I did not find the time to let my server know that I was celebrating a 5 year anniversary. Small miss on attention to detail otherwise great as always."
2024-01-19,5,"Beyond the Beach: An Insider's Glimpse into Nobu Malibu's Esoteric DelightsMalibu isn't just a sun-kissed haven for celebrities and surfers; it's the backdrop for a select few who savor the exquisite, the exclusive. And at the heart of this culinary Eden lies Nobu Malibu, a temple of opulence where the ocean serenades your soul and sushi becomes an art form.For me, Nobu Malibu is more than just a restaurant; it's a sanctuary. Stepping through the sleek doors is like entering a hushed Zen temple, where minimalist lines whisper promises of refined indulgence. The endless turquoise canvas of the Pacific stretches before you, punctuated by the rhythmic dance of yachts and the melodic whisper of crashing waves. It's an ambiance that washes away the stresses of the world, preparing you for the symphony of flavors to come.The menu, itself a whispered poetry of fresh-from-the-ocean treasures, caters to a discerning palate. Yellowtail sashimi, like sunlit pearls glistening on a black lacquer plate, melts on your tongue with a delicate interplay of sweetness and brine. Toro, the crown jewel of tuna, explodes on your palate with a creamy richness that defies description. Each bite is a journey to the heart of the Pacific, a testament to the chef's meticulous sourcing and exquisite artistry.And artistry it is. The nigiri is a masterclass in balance, each piece of perfectly formed rice a pedestal for the jewel atop. Wasabi, mere whispers of green fire, enhances the flavors without overpowering them. It's a testament to the chef's deep understanding of seafood, where every element exists in perfect harmony.But Nobu is more than just sushi. Black cod, bathed in a miso glaze that shimmers like molten gold, flakes apart to reveal the most divine sweetness. The lobster tempura, light as a feather yet bursting with juicy flavor, is a testament to the chef's deft touch. Each dish is a mini-opera of taste and texture, leaving you breathless with its audacity and finesse.The service, too, is an art form. Servers glide through the dining room like shadows, anticipating your every need before you even voice it. They are connoisseurs of both the menu and the human experience, weaving a tapestry of attentive service and genuine warmth. It's a subtle dance of recognition, where familiar faces are greeted with a knowing smile and a personalized recommendation.As the sun dips below the horizon, casting the sky in a fiery blush, the restaurant takes on a new persona. The soft glow of lanterns dances on the water, transforming the space into an intimate haven for those in the know. It's the perfect setting for indulging in the final act of this epicurean masterpiece - the legendary Nobu cheesecake.This is no ordinary dessert. It's a symphony of textures - a creamy, melt-in-your-mouth filling contrasted by a crisp, buttery crust. Each bite is a decadent explosion of sweet and tangy, the perfect harmony to conclude this epicurean odyssey.Nobu Malibu isn't just a meal; it's a passport to exclusivity, a whispered secret shared amongst those who appreciate the finer things. It's a portal to a world where luxury meets artistry, where every bite is a poem, and every detail a brushstroke on the canvas of perfection. It's a memory that lingers long after the last bite, a reminder that true gastronomy is more than sustenance; it's an art form for the soul.So, if you seek an experience that transcends the ordinary, a symphony of flavors that will dance on your palate long after the curtain falls, make your way to Nobu Malibu. Let the ocean breeze caress your skin, the music wash over you, and the culinary artistry astound you. It's a journey you'll savor, a taste of luxury that will forever redefine your expectations of what a meal can be. And who knows, perhaps you'll find yourself joining the select few who call this their sanctuary, who return not just for the food, but for the whispers of exclusivity and the shared love of an esoteric culinary Eden.Signed,Brian Chee"
2024-01-18,5,"When I was in college, I used to go to Matsuhisa, and sit in front of Nobu himself. Quite difficult to re-create such an experience, but my visit to Nobu Malibu was pretty astonishing last week. The manager had invited one of my good friends and we got a little bit of special treatment. What strikes me about this experience is a combination of the texture in my mouth of a perfectly cut slice of fish, just the right amount of ingredients to not confuse the senses, the sunlight, and the smell of the sea. I literally shed a tear at one point, and I proceeded to go home and re-create as many of the dishes as I could remember. When you go here, try to eat slow and appreciate every one of your senses. No"
2024-01-17,5,"We were able to get a table at the bar without a reservation. The food was amazing- we had the miso cod along with several other dishes. Everything, including the drinks, was impressive!"
2024-01-17,4,"One word: expensive. But everything else: FABULOUS. The vibe really is where it's at here, the location right on PCH in Malibu facing the Pacific Ocean makes for incredible sunset views, and the openness of the restaurant (has open glass doors leading to the patio) makes it feel not cramped, despite the fact this place is ALWAYS full. We barely got a reservation the week we were going but we really wanted to try the food and I'm glad we got to! The hosts were very nice and helpful. Our server was also very nice, although he seemed a bit surprised by the amount we were ordering lol. We wanted to try a lot though since we knew we weren't coming back and it DEFINITELY added up. I had a lychee and elderflower cocktail that really tasted just like lychee (couldn't taste much elderflower) and it was STRONG. My date had a mocktail martini that I actually liked more than my drink since it was sweeter. We also ordered the coco shiso (2-3 pieces, $8), the omakase ($195 - most expensive thing on the menu but it came with like 8 courses including the dessert I had wanted to try), the ribeye with truffle butter ($54), the toro scallion (2-3 pieces, $24), the king crab uni ($98 - see pictures. And DONT confuse the little white piles the leg is on top of for grits - it is SALT lol, my date found out the hard way), and the wagyu tacos (2 pieces and they are TINY, like the size of your thumb so single bites - $36). Out total including tax and tip for all this was about $530, but we tried a huge selection of what they had to offer and we definitely left full. I don't know I would seek out coming here again just because of the food prices, but I would def come for drinks and to sit on the patio if a reservation were available and I were in the area!"
